date,company_code,is_copied,language,last_published,changes_24h,changes_7d,added_24h,removed_24h,added_7d,removed_7d,contributors_7d,contributors_all_time,changes_1y,added_1y,removed_1y,stars,copy,watchers,market_cap_rank,price_share_usd,market_cap_usd
1/21/2018,PXR,FALSE,HTML,21d,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.57623,61061799073
1/21/2018,CSC,TRUE,Go,298d,0,0,0,0,0,0,0,98,15,0,0,2,1,7,28,0.0508186,1595508194
1/21/2018,MXL,FALSE,Unknown,782d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0.534347,9560795325
1/21/2018,TST,TRUE,Shell,11d,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,16.0559,1584855398
1/21/2018,XTR,FALSE,Java,13m,7,44,215,159,77790,71766,7,20,288,74346,50250,859,183,264,14,0.0848682,5579930749
1/21/2018,NVE,TRUE,Unknown,21d,0,0,0,0,0,0,0,1,2,1,0,1,0,1,21,8.1689,2264113836
1/21/2018,GXV,TRUE,Java,31d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.109132,1609419393
1/21/2018,CZE,FALSE,Python,333d,0,0,0,0,0,0,0,5,66,0,0,2,6,7,24,559.724,1735777588
1/22/2018,BBN,TRUE,C,4d,0,0,0,0,0,0,0,2,35,0,0,21,14,4,27,12.9558,1282805581
1/22/2018,CBT,FALSE,Python,2h,0,0,0,0,0,0,0,100,258,56842,18695,1882,1081,461,1,10958.1,1.84E+11
1/22/2018,HBC,FALSE,Unknown,3d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1655.05,28013996944
1/22/2018,GBT,FALSE,Unknown,17d,0,0,0,0,0,0,0,1,7,0,0,2,1,1,15,190.374,3194523045
1/22/2018,AAD,FALSE,JavaScript,23d,0,0,0,0,0,0,0,2,7,2808,20,1,1,14,5,0.575405,14918566023
1/22/2018,HDA,TRUE,C,57d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,784.363,6144856214
1/22/2018,SEO,TRUE,C++,23d,0,2,0,0,10,0,1,6,32,0,0,19,17,20,9,13.5268,8407464534
1/22/2018,HET,FALSE,Unknown,2d,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1006.97,97827231948
1/22/2018,CET,FALSE,Go,9d,0,0,0,0,0,0,0,0,5,59121,36519,0,0,6,18,29.4617,2925973622
1/22/2018,XIC,FALSE,Python,193d,0,0,0,0,0,0,0,0,22,0,0,0,15,3,16,8.31936,3161731204
1/22/2018,AMI,FALSE,Java,10d,0,0,0,0,0,0,0,0,108,23070,6447,73,48,18,11,2.49587,6937346247
1/22/2018,KLS,FALSE,JavaScript,192d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.8147,2558462920
1/22/2018,CLT,TRUE,Java,70d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,179.655,9858866021
1/22/2018,RXM,FALSE,Unknown,3d,0,0,0,0,0,0,0,0,177,0,0,18,20,9,13,317.479,4963538163
1/22/2018,MXE,TRUE,Shell,117d,0,0,0,0,0,0,0,0,0,412940,244494,1,0,12,7,0.986846,8881613999
1/22/2018,ONE,FALSE,CSS,3h,0,5,0,0,9710,182,4,67,255,0,0,124,164,33,10,123.85,8050250000
1/22/2018,GOM,TRUE,Ruby,60d,0,0,0,0,0,0,0,100,8,298980,116384,3,0,23,23,15.7069,1602772156
1/22/2018,TPP,FALSE,Unknown,23d,0,0,0,0,0,0,0,1,3,0,0,1,0,10,24,42.5482,1574454737
1/22/2018,MQT,TRUE,C,23d,0,0,0,0,0,0,0,1,4,24853,9007,1,0,2,17,40.2636,2972549655
1/22/2018,BXR,FALSE,C++,37m,4,14,36,33,2587,205,9,26,807,545588,368120,1460,259,215,21,14.8016,1972287878
1/22/2018,PXR,FALSE,HTML,14h,0,0,0,0,0,0,0,1,8,0,0,6,5,8,3,1.34481,52096786644
1/22/2018,CSC,TRUE,Go,300d,0,0,0,0,0,0,0,0,15,0,0,2,2,7,28,0.039882,1252141102
1/22/2018,MXL,FALSE,Unknown,784d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.480392,8583578482
1/22/2018,TST,TRUE,Shell,12d,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,11.9529,1179885583
1/22/2018,XTR,FALSE,Java,4h,0,28,0,0,43902,39646,5,20,295,74346,50250,879,188,263,14,0.0704188,4629908816
1/22/2018,NVE,TRUE,Unknown,23d,0,0,0,0,0,0,0,1,2,1,0,1,0,1,20,8.30816,2302711505
1/22/2018,GXV,TRUE,Java,33d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.0953762,1383230485
1/22/2018,CZE,FALSE,Python,334d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,25,450.042,1402204298
1/23/2018,BBN,TRUE,C,4d,0,0,0,0,0,0,0,0,35,27767,601,21,14,4,27,12.5972,1247299161
1/23/2018,CBT,FALSE,Python,2h,1,2,916,0,1832,0,2,100,258,57758,18695,1884,1081,460,1,10803.4,1.82E+11
1/23/2018,HBC,FALSE,Unknown,3d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1603.93,27149101587
1/23/2018,GBT,FALSE,Unknown,18d,0,0,0,0,0,0,0,1,7,0,0,2,2,1,15,187.861,3152384808
1/23/2018,AAD,FALSE,JavaScript,23d,0,0,0,0,0,0,0,2,7,2808,20,1,1,14,5,0.561977,14570417320
1/23/2018,HDA,TRUE,C,58d,0,0,0,0,0,0,0,1,0,5384,1752,1,0,2,12,770.157,6033785563
1/23/2018,SEO,TRUE,C++,4d,0,2,0,0,10,0,1,6,32,892,152,19,17,20,9,13.3075,8271639652
1/23/2018,HET,FALSE,Unknown,3d,0,0,0,0,0,0,0,14,0,64786,63973,41,29,25,2,988.519,96037840579
1/23/2018,CET,FALSE,Go,9d,0,0,0,0,0,0,0,1,5,59121,36519,0,0,6,18,28.8557,2865894164
1/23/2018,XIC,FALSE,Python,194d,0,0,0,0,0,0,0,0,22,381,99,0,15,3,16,8.09904,3077999689
1/23/2018,AMI,FALSE,Java,11d,0,0,0,0,0,0,0,0,108,23070,6447,73,48,18,11,2.41082,6700947197
1/23/2018,KLS,FALSE,JavaScript,193d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.7316,2548831301
1/23/2018,CLT,TRUE,Java,71d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,175.029,9605391664
1/23/2018,RXM,FALSE,Unknown,3d,0,0,0,0,0,0,0,0,177,0,0,18,21,9,13,310.088,4848126954
1/23/2018,MXE,TRUE,Shell,118d,0,0,0,0,0,0,0,0,0,412940,244494,1,0,12,7,0.97881,8809289999
1/23/2018,ONE,FALSE,CSS,2h,7,12,191,27,9901,209,7,0,255,0,0,125,164,33,10,119.579,7772635000
1/23/2018,GOM,TRUE,Ruby,61d,0,0,0,0,0,0,0,0,8,298980,116384,3,0,23,23,15.8505,1617425467
1/23/2018,TPP,FALSE,Unknown,23d,0,0,0,0,0,0,0,1,3,0,0,1,0,10,24,42.0755,1556962934
1/23/2018,MQT,TRUE,C,23d,0,0,0,0,0,0,0,1,4,24853,9007,1,0,2,17,39.4991,2916123755
1/23/2018,BXR,FALSE,C++,2h,2,14,3,3,2587,205,9,26,813,545588,368120,1466,261,215,21,14.6486,1951900889
1/23/2018,PXR,FALSE,HTML,1d,0,0,0,0,0,0,0,1,8,0,0,6,5,8,3,1.30668,50619663128
1/23/2018,CSC,TRUE,Go,300d,0,0,0,0,0,0,0,0,15,0,0,2,2,7,28,0.0388746,1220512624
1/23/2018,MXL,FALSE,Unknown,784d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.469662,8391862511
1/23/2018,TST,TRUE,Shell,13d,0,0,0,0,0,0,0,0,0,3506,563,3,1,3,29,12.0908,1193500270
1/23/2018,XTR,FALSE,Java,3h,0,18,0,0,39969,35902,5,20,295,74346,50250,884,188,264,14,0.0691658,4547526331
1/23/2018,NVE,TRUE,Unknown,23d,0,0,0,0,0,0,0,1,2,1,0,1,0,1,20,7.66217,2123667215
1/23/2018,GXV,TRUE,Java,33d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.0922371,1337762165
1/23/2018,CZE,FALSE,Python,335d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,25,442.361,1378775648
1/24/2018,BBN,TRUE,C,12h,0,0,0,0,0,0,0,0,35,0,0,20,14,4,27,13.5261,1339273265
1/24/2018,CBT,FALSE,Python,3h,0,2,0,0,1832,0,2,100,260,57758,18695,1900,1086,460,1,10884.6,1.83E+11
1/24/2018,HBC,FALSE,Unknown,4d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1612.97,27305182807
1/24/2018,GBT,FALSE,Unknown,12h,0,0,0,0,0,0,0,1,7,0,0,1,2,1,15,188.108,3156884623
1/24/2018,AAD,FALSE,JavaScript,12h,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.560238,14525330144
1/24/2018,HDA,TRUE,C,59d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,756.798,5930555105
1/24/2018,SEO,TRUE,C++,12h,0,2,0,0,10,0,1,6,32,0,0,18,17,20,9,13.0941,8165474023
1/24/2018,HET,FALSE,Unknown,4d,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,988.348,96040718737
1/24/2018,CET,FALSE,Go,10d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,28.8252,2863524770
1/24/2018,XIC,FALSE,Python,195d,0,0,0,0,0,0,0,0,22,0,0,0,15,3,16,8.21175,3120834562
1/24/2018,AMI,FALSE,Java,12h,0,0,0,0,0,0,0,0,108,23070,6447,72,48,18,11,2.50286,6956775164
1/24/2018,KLS,FALSE,JavaScript,194d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.9683,2577320517
1/24/2018,CLT,TRUE,Java,72d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,178.01,9771571135
1/24/2018,RXM,FALSE,Unknown,12h,0,0,0,0,0,0,0,16,177,0,0,17,22,10,13,312.542,4887704278
1/24/2018,MXE,TRUE,Shell,119d,0,0,0,0,0,0,0,0,0,0,0,1,0,12,8,0.936196,8425763999
1/24/2018,ONE,FALSE,CSS,12h,0,12,0,0,9901,209,7,69,255,0,0,124,164,33,10,122.049,7933185000
1/24/2018,GOM,TRUE,Ruby,62d,0,0,0,0,0,0,0,100,8,0,0,3,0,23,23,16.0594,1638742156
1/24/2018,TPP,FALSE,Unknown,12h,0,0,0,0,0,0,0,1,3,0,0,0,0,10,22,48.9085,1809811449
1/24/2018,MQT,TRUE,C,12h,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,17,39.7659,2935911148
1/24/2018,BXR,FALSE,C++,4h,0,14,0,0,2587,205,9,26,810,545588,368120,1470,264,215,21,14.2182,1894550826
1/24/2018,PXR,FALSE,HTML,12h,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.35482,52484565463
1/24/2018,CSC,TRUE,Go,301d,0,0,0,0,0,0,0,98,15,0,0,2,2,7,29,0.0389449,1222719773
1/24/2018,MXL,FALSE,Unknown,785d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.516943,9236693136
1/24/2018,XTR,FALSE,Java,39m,19,33,2361,24882,28057,50550,5,21,295,76071,62697,903,190,267,14,0.0687359,4519261183
1/24/2018,NVE,TRUE,Unknown,13h,0,0,0,0,0,0,0,1,2,1,0,0,0,1,20,8.21631,2277254117
1/24/2018,GXV,TRUE,Java,34d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,25,0.0967593,1403727558
1/24/2018,CZE,FALSE,Python,336d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,441.561,1379284777
1/25/2018,BBN,TRUE,C,2d,0,0,0,0,0,0,0,0,35,0,0,20,14,4,28,14.1072,1396810301
1/25/2018,CBT,FALSE,Python,15h,0,2,0,0,1832,0,2,100,260,57758,18695,1900,1088,459,1,11738.7,1.98E+11
1/25/2018,HBC,FALSE,Unknown,5d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1706.89,28898202439
1/25/2018,GBT,FALSE,Unknown,2d,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,194.777,3269175849
1/25/2018,AAD,FALSE,JavaScript,1d,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.666496,17280288805
1/25/2018,HDA,TRUE,C,60d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,813.219,6374277163
1/25/2018,SEO,TRUE,C++,1d,0,2,0,0,10,0,1,6,32,0,0,18,17,20,9,14.7518,9228711035
1/25/2018,HET,FALSE,Unknown,5d,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1104.66,1.07E+11
1/25/2018,CET,FALSE,Go,11d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,30.3912,3019817212
1/25/2018,XIC,FALSE,Python,196d,0,0,0,0,0,0,0,0,22,0,0,0,15,3,17,8.30059,3154597760
1/25/2018,AMI,FALSE,Java,1d,0,0,0,0,0,0,0,0,108,23070,6447,72,48,18,11,2.53408,7043552100
1/25/2018,KLS,FALSE,JavaScript,195d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,22.808,2676621983
1/25/2018,CLT,TRUE,Java,73d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,184.724,10142794571
1/25/2018,RXM,FALSE,Unknown,1d,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,327.323,5120155490
1/25/2018,MXE,TRUE,Shell,120d,0,0,0,0,0,0,0,0,0,0,0,1,0,12,10,0.997065,8973584999
1/25/2018,ONE,FALSE,CSS,60m,3,14,86,81,9986,289,8,69,262,0,0,125,164,33,8,145.342,9447230000
1/25/2018,GOM,TRUE,Ruby,63d,0,0,0,0,0,0,0,100,8,0,0,3,0,23,21,19.1198,1951033181
1/25/2018,TPP,FALSE,Unknown,2d,0,0,0,0,0,0,0,1,3,0,0,0,0,10,22,51.3817,1901329809
1/25/2018,MQT,TRUE,C,1d,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,18,41.6606,3075895251
1/25/2018,BXR,FALSE,C++,2h,3,15,312,200,874,396,9,26,803,545900,368320,1479,266,215,23,14.0299,1869460173
1/25/2018,PXR,FALSE,HTML,1d,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.37225,53159788722
1/25/2018,MST,FALSE,Unknown,2d,0,0,0,0,0,0,0,1,1,0,0,0,1,3,24,6.65738,1649644868
1/25/2018,MXL,FALSE,Unknown,786d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.579094,10347227868
1/25/2018,TST,TRUE,Shell,15d,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,13.0949,1292649451
1/25/2018,XTR,FALSE,Java,1h,3,34,2,2,27935,50525,6,22,315,76073,62699,919,195,270,14,0.07288,4791728268
1/25/2018,NVE,TRUE,Unknown,2d,0,0,0,0,0,0,0,1,2,1,0,0,0,1,15,7.80604,3555431166
1/25/2018,GXV,TRUE,Java,35d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,27,0.0976026,1416362361
1/25/2018,CZE,FALSE,Python,337d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,469.083,1468631442
1/26/2018,BBN,TRUE,C,13h,0,0,0,0,0,0,0,0,35,0,0,22,14,5,29,13.524,1339065336
1/26/2018,CBT,FALSE,Python,5h,0,2,0,0,1832,0,2,100,260,57758,18695,1907,1089,461,1,11588.9,1.95E+11
1/26/2018,HBC,FALSE,Unknown,6d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1669.71,28271675820
1/26/2018,GBT,FALSE,Unknown,3d,0,0,0,0,0,0,0,1,7,0,0,1,2,1,15,191.259,3210494821
1/26/2018,NBC,FALSE,C++,5h,0,0,0,0,0,0,0,4,9,829585,244288,361,4310,130,28,0.00735532,1351073841
1/26/2018,AAD,FALSE,JavaScript,2d,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.644374,16706730151
1/26/2018,HDA,TRUE,C,61d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,809.109,6343683131
1/26/2018,SEO,TRUE,C++,17h,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.5886,9154724523
1/26/2018,HET,FALSE,Unknown,6d,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1073.21,1.04E+11
1/26/2018,CET,FALSE,Go,12d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,29.5263,2934597964
1/26/2018,XIC,FALSE,Python,197d,0,0,0,0,0,0,0,2,22,0,0,0,15,3,18,7.89847,3001774063
1/26/2018,AMI,FALSE,Java,2d,0,0,0,0,0,0,0,11,106,23070,6447,72,48,18,11,2.42396,6737470225
1/26/2018,KLS,FALSE,JavaScript,196d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,23.9805,2815048641
1/26/2018,CLT,TRUE,Java,74d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,182.086,10000565194
1/26/2018,RXM,FALSE,Unknown,2d,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,327.012,5116435313
1/26/2018,MXE,TRUE,Shell,121d,0,0,0,0,0,0,0,100,0,0,0,1,0,12,10,0.954166,8587493999
1/26/2018,ONE,FALSE,CSS,2h,3,17,146,145,10132,434,10,70,264,0,0,126,166,34,9,140.064,9104160000
1/26/2018,GOM,TRUE,Ruby,64d,0,0,0,0,0,0,0,0,8,0,0,3,0,23,23,18.3299,1870429770
1/26/2018,TPP,FALSE,Unknown,3d,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,52.2054,1931810026
1/26/2018,MQT,TRUE,C,2d,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,17,41.5026,3064329862
1/26/2018,BXR,FALSE,C++,3h,1,15,1518,3,2391,398,9,26,803,547418,368323,1494,270,214,21,14.8335,1976538498
1/26/2018,PXR,FALSE,HTML,2d,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.31899,51096541976
1/26/2018,MST,FALSE,Unknown,3d,0,0,0,0,0,0,0,1,1,0,0,0,1,3,25,6.46075,1601244027
1/26/2018,MXL,FALSE,Unknown,787d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.640773,11449328717
1/26/2018,XTR,FALSE,Java,5h,0,34,0,0,27935,50525,6,22,318,76073,62699,934,194,275,14,0.0705637,4639435729
1/26/2018,NVE,TRUE,Unknown,3d,0,0,0,0,0,0,0,1,2,1,0,0,0,1,16,6.99165,3184499479
1/26/2018,GXV,TRUE,Java,36d,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,27,0.093299,1354294957
1/26/2018,CZE,FALSE,Python,338d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,488.494,1532897225
1/27/2018,BBN,TRUE,C,2d,0,0,0,0,0,0,0,0,35,0,0,22,14,5,29,13.0294,1290093012
1/27/2018,CBT,FALSE,Python,7h,0,2,0,0,1832,0,2,100,259,57758,18695,1910,1092,461,1,11079.8,1.86E+11
1/27/2018,HBC,FALSE,Unknown,7d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1588.92,26906493219
1/27/2018,GBT,FALSE,Unknown,4d,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,179.094,3006627581
1/27/2018,NBC,FALSE,C++,7h,0,0,0,0,0,0,0,4,0,829585,244288,363,4339,132,28,0.00716287,1315738832
1/27/2018,AAD,FALSE,JavaScript,3d,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.605602,15701485772
1/27/2018,HDA,TRUE,C,62d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,753.369,5908131493
1/27/2018,SEO,TRUE,C++,2d,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.2238,8955721876
1/27/2018,HET,FALSE,Unknown,7d,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1051.28,1.02E+11
1/27/2018,CET,FALSE,Go,13d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,28.3932,2822657451
1/27/2018,XIC,FALSE,Python,198d,0,0,0,0,0,0,0,2,22,0,0,0,15,3,17,7.90505,3004274759
1/27/2018,AMI,FALSE,Java,3d,0,0,0,0,0,0,0,0,106,23070,6447,72,49,18,11,2.38947,6641604225
1/27/2018,KLS,FALSE,JavaScript,197d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,21.2439,2494535386
1/27/2018,CLT,TRUE,Java,75d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,175.295,9630388816
1/27/2018,RXM,FALSE,Unknown,3d,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,316.447,4952430351
1/27/2018,MXE,TRUE,Shell,122d,0,0,0,0,0,0,0,0,0,0,0,1,0,12,10,0.844142,7597277999
1/27/2018,ONE,FALSE,CSS,6h,2,18,267,36,2412,367,10,70,266,100531,29824,126,169,34,9,135.705,8820825000
1/27/2018,GOM,TRUE,Ruby,65d,0,0,0,0,0,0,0,100,7,0,0,3,0,23,23,16.3066,1663967075
1/27/2018,TPP,FALSE,Unknown,4d,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,54.2085,2005932792
1/27/2018,MQT,TRUE,C,3d,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,18,38.8141,2865916857
1/27/2018,BXR,FALSE,C++,50m,5,20,194,13,2585,411,10,26,801,547606,368334,1508,270,218,21,17.4153,2320558931
1/27/2018,PXR,FALSE,HTML,3d,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.19924,46457529625
1/27/2018,MST,FALSE,Unknown,4d,0,0,0,0,0,0,0,1,0,0,0,0,1,3,25,5.9753,1478691240
1/27/2018,MXL,FALSE,Unknown,788d,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.620768,11091907724
1/27/2018,TST,TRUE,Shell,17d,0,0,0,0,0,0,0,0,0,0,0,3,1,3,27,13.6324,1345743377
1/27/2018,XTR,FALSE,Java,40m,0,28,0,0,2547,25016,6,22,318,76073,62699,941,197,279,14,0.065016,4274684482
1/27/2018,NVE,TRUE,Unknown,4d,0,0,0,0,0,0,0,1,2,1,0,0,0,1,15,7.29283,3321678479
1/27/2018,CZE,FALSE,Python,339d,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,453.186,1425380434
1/28/2018,CBT,FALSE,Python,5h,0,2,0,0,1832,0,2,100,259,57758,18695,1913,1091,461,1,11556.1,1.94E+11
1/28/2018,HBC,FALSE,Unknown,8d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1654.36,28017703293
1/28/2018,GBT,FALSE,Unknown,5d,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,190.732,3202328023
1/28/2018,NBC,FALSE,C++,9h,0,0,0,0,0,0,0,4,0,829585,244288,364,4373,133,28,0.00732928,1346322590
1/28/2018,AAD,FALSE,JavaScript,4d,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.651992,16904242574
1/28/2018,HDA,TRUE,C,63d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,770.047,6040459325
1/28/2018,SEO,TRUE,C++,3d,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.777,9331964528
1/28/2018,HET,FALSE,Unknown,3h,0,0,0,0,0,0,0,14,0,0,0,42,29,25,2,1130.79,1.10E+11
1/28/2018,CET,FALSE,Go,14d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,30.5051,3033343377
1/28/2018,XIC,FALSE,Python,199d,0,0,0,0,0,0,0,2,22,0,0,0,15,3,17,8.14008,3093596736
1/28/2018,AMI,FALSE,Java,4d,0,0,0,0,0,0,0,11,105,23070,6447,72,49,18,11,2.47867,6889538327
1/28/2018,KLS,FALSE,JavaScript,198d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,23.4373,2752898758
1/28/2018,CLT,TRUE,Java,76d,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,182.779,10044434087
1/28/2018,RXM,FALSE,C,3h,0,0,0,0,0,0,0,8,127,1062781,376273,19,9,13,13,325.666,5097885408
1/28/2018,MXE,TRUE,Shell,123d,0,0,0,0,0,0,0,0,0,0,0,1,0,12,9,1.03081,9277289999
1/28/2018,ONE,FALSE,CSS,1d,0,15,0,0,690,289,8,70,270,0,0,126,169,34,10,141.368,9188920000
1/28/2018,GOM,TRUE,Ruby,66d,0,0,0,0,0,0,0,100,7,0,0,3,0,23,24,16.0564,1638436028
1/28/2018,TPP,FALSE,Unknown,5d,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,60.9145,2254081796
1/28/2018,MQT,TRUE,C,4d,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,19,40.7737,3010703913
1/28/2018,BXR,FALSE,C++,18m,3,20,11,5,2179,386,9,26,801,547617,368339,1522,270,223,21,20.2573,2699250569
1/28/2018,PXR,FALSE,HTML,4d,0,0,0,0,0,0,0,1,8,1584,17,5,5,8,3,1.25731,48707111648
